seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1647,1647,0,accepted,none,0.000000,1,5.120000,1.739425,1.000000,10.000000,7.240000,2.702295,49.000000,0.000000,50,0,74.123371
1653,1653,0,rejected,assert_connectivity,60.000000,1,7.120000,4.366417,0.000000,16.000000,9.080000,5.403110,41.440000,12.073376,0,0,69.805478
1643,1643,0,accepted,none,0.000000,1,5.920000,2.152580,2.000000,10.000000,7.920000,3.064898,49.000000,0.000000,50,0,67.063693
1645,1645,0,accepted,none,0.000000,1,6.880000,3.433016,1.000000,14.000000,9.400000,4.233202,49.000000,0.000000,50,0,67.186747
1654,1654,0,rejected,too_close,60.000000,1,6.120000,2.178440,1.000000,11.000000,9.120000,4.018159,49.000000,0.000000,50,0,65.058531
1657,1657,0,rejected,too_close,60.000000,1,5.960000,2.382939,2.000000,12.000000,7.240000,3.535873,49.000000,0.000000,50,1,57.037124
1661,1661,0,rejected,assert_connectivity,60.000000,1,6.000000,3.136877,1.000000,12.000000,7.440000,3.623037,35.560000,12.464606,0,0,69.774563
1662,1662,0,rejected,assert_connectivity,60.000000,1,6.320000,3.635602,0.000000,15.000000,7.520000,4.473209,29.280000,11.435104,0,0,62.112310
1649,1649,0,accepted,none,0.000000,1,5.960000,2.568735,1.000000,13.000000,7.520000,3.293873,49.000000,0.000000,50,0,73.078442
1663,1663,0,rejected,assert_connectivity,60.000000,1,6.600000,2.835489,1.000000,13.000000,6.280000,4.673500,24.160000,11.080361,0,0,56.359641
1665,1665,0,rejected,assert_connectivity,60.000000,1,6.040000,2.630285,0.000000,11.000000,8.920000,4.270082,47.040000,6.720000,0,0,60.721979
1666,1666,0,rejected,assert_connectivity,60.000000,1,5.600000,2.172556,1.000000,11.000000,6.640000,3.241975,41.640000,11.394314,0,0,56.489526
1655,1655,0,accepted,none,0.000000,1,6.320000,2.760000,1.000000,12.000000,8.920000,3.825389,49.000000,0.000000,50,0,67.725178
1659,1659,0,accepted,none,0.000000,1,5.560000,2.219550,1.000000,11.000000,6.880000,3.524996,49.000000,0.000000,50,0,61.178787
1656,1656,0,accepted,none,0.000000,1,5.440000,2.201454,1.000000,10.000000,6.560000,2.570292,49.000000,0.000000,50,0,57.379597
1658,1658,0,accepted,none,0.000000,1,6.880000,2.724995,1.000000,11.000000,9.320000,3.911215,49.000000,0.000000,50,0,72.201395
1660,1660,0,accepted,none,0.000000,1,6.360000,2.206898,2.000000,11.000000,7.360000,2.414622,49.000000,0.000000,50,0,55.002361
1668,1668,0,rejected,assert_connectivity,60.000000,1,5.480000,1.941546,0.000000,9.000000,6.400000,2.600000,47.040000,6.720000,0,0,64.712793
1671,1671,0,rejected,assert_connectivity,60.000000,1,6.120000,2.881944,1.000000,13.000000,7.160000,3.711388,41.640000,11.394314,0,0,67.678182
1673,1673,0,rejected,assert_connectivity,60.000000,1,6.000000,2.800000,0.000000,12.000000,6.760000,3.834371,41.520000,11.803796,0,0,68.101747
1674,1674,0,rejected,assert_connectivity,60.000000,1,5.360000,2.037253,0.000000,10.000000,6.080000,3.943805,36.720000,13.102733,0,1,64.785353
1675,1675,0,rejected,too_close,60.000000,1,6.240000,2.371160,2.000000,11.000000,7.840000,2.571848,49.000000,0.000000,50,1,62.001281
1664,1664,0,accepted,none,0.000000,1,6.960000,2.727343,1.000000,13.000000,9.320000,4.722033,49.000000,0.000000,50,0,66.331386
1678,1678,0,rejected,assert_connectivity,60.000000,1,6.040000,3.111013,0.000000,13.000000,5.800000,3.072458,47.040000,6.720000,0,1,66.288532
1667,1667,0,accepted,none,0.000000,1,6.440000,1.951000,2.000000,10.000000,8.080000,3.422514,49.000000,0.000000,50,0,68.175260
1679,1679,0,rejected,assert_connectivity,60.000000,1,5.920000,2.243569,0.000000,11.000000,5.000000,2.800000,47.040000,6.720000,0,0,58.239887
1670,1670,0,accepted,none,0.000000,1,6.080000,2.225668,2.000000,10.000000,8.040000,3.346401,49.000000,0.000000,50,0,67.183323
1669,1669,0,accepted,none,0.000000,1,5.800000,2.088061,1.000000,10.000000,7.920000,3.058366,49.000000,0.000000,50,0,67.332942
1672,1672,0,accepted,none,0.000000,1,6.800000,3.693237,2.000000,15.000000,10.000000,4.690416,49.000000,0.000000,50,0,65.572422
1682,1682,0,rejected,assert_connectivity,60.000000,1,6.800000,3.268027,1.000000,14.000000,8.920000,4.058768,45.160000,9.014122,0,0,63.378530
1677,1677,0,accepted,none,0.000000,1,6.440000,2.601230,1.000000,12.000000,8.040000,4.507594,49.000000,0.000000,50,0,55.502686
1676,1676,0,accepted,none,0.000000,1,6.400000,3.072458,1.000000,13.000000,9.040000,4.014773,49.000000,0.000000,50,0,73.942680
1680,1680,0,accepted,none,0.000000,1,5.920000,1.718604,1.000000,9.000000,6.920000,3.267048,49.000000,0.000000,50,0,61.589126
1681,1681,0,accepted,none,0.000000,1,6.360000,2.520000,2.000000,12.000000,7.240000,3.701675,49.000000,0.000000,50,0,58.518930
1688,1688,0,rejected,assert_connectivity,60.000000,1,6.200000,3.111270,0.000000,12.000000,8.200000,4.543127,47.040000,6.720000,0,0,67.907848
1684,1684,0,accepted,none,0.000000,1,6.120000,2.840000,1.000000,11.000000,7.400000,3.903844,49.000000,0.000000,50,0,54.845883
1683,1683,0,accepted,none,0.000000,1,7.080000,2.791702,3.000000,12.000000,7.280000,2.891643,49.000000,0.000000,50,0,55.442605
1685,1685,0,accepted,none,0.000000,1,6.280000,2.010373,1.000000,10.000000,7.240000,3.307930,49.000000,0.000000,50,0,58.521154
1691,1691,0,rejected,assert_connectivity,60.000000,1,6.360000,3.103289,0.000000,13.000000,8.720000,4.400182,47.040000,6.720000,0,0,71.196201
1692,1692,0,rejected,too_close,60.000000,1,5.760000,2.267686,1.000000,12.000000,6.240000,2.672527,49.000000,0.000000,50,0,69.608807
1686,1686,0,accepted,none,0.000000,1,6.120000,2.680597,1.000000,11.000000,7.120000,3.653163,49.000000,0.000000,50,0,61.653665
1687,1687,0,accepted,none,0.000000,1,6.000000,2.289105,2.000000,11.000000,6.520000,2.934212,49.000000,0.000000,50,0,62.210480
1695,1695,0,rejected,assert_connectivity,60.000000,1,6.160000,2.361017,1.000000,10.000000,7.000000,3.994997,41.640000,11.394314,0,1,61.386168
1696,1696,0,rejected,assert_connectivity,60.000000,1,6.600000,2.630589,0.000000,12.000000,8.720000,4.418325,47.040000,6.720000,0,0,65.330983
1698,1698,0,rejected,too_close,60.000000,1,6.200000,2.107131,1.000000,10.000000,8.680000,3.807571,49.000000,0.000000,50,1,63.450347
1699,1699,0,rejected,assert_connectivity,60.000000,1,6.960000,3.155693,0.000000,13.000000,8.040000,4.098585,43.280000,10.766689,0,0,61.936884
1700,1700,0,rejected,too_close,60.000000,1,6.160000,3.270229,1.000000,13.000000,9.160000,3.854141,49.000000,0.000000,50,1,71.881788
1701,1701,0,rejected,assert_connectivity,60.000000,1,5.320000,2.284207,0.000000,11.000000,6.360000,3.456935,47.040000,6.720000,0,0,63.208519
1702,1702,0,rejected,assert_connectivity,60.000000,1,6.120000,2.294690,0.000000,11.000000,8.560000,3.769138,47.040000,6.720000,0,0,63.069420
1690,1690,0,accepted,none,0.000000,1,6.240000,2.739051,2.000000,11.000000,7.360000,3.581955,49.000000,0.000000,50,0,64.525637
1689,1689,0,accepted,none,0.000000,1,5.920000,2.331008,1.000000,10.000000,5.840000,2.548411,49.000000,0.000000,50,0,61.218716
1704,1704,0,rejected,too_close,60.000000,1,6.160000,2.138785,1.000000,10.000000,7.120000,3.421345,49.000000,0.000000,50,1,66.667205
1705,1705,0,rejected,assert_connectivity,60.000000,1,5.600000,2.227106,1.000000,10.000000,6.840000,3.601999,40.000000,12.000000,0,0,75.102240
1694,1694,0,accepted,none,0.000000,1,5.120000,2.016333,1.000000,9.000000,5.440000,2.458943,49.000000,0.000000,50,0,69.649162
1693,1693,0,accepted,none,0.000000,1,5.560000,2.108649,1.000000,11.000000,6.840000,3.574129,49.000000,0.000000,50,0,66.413811
1707,1707,0,rejected,assert_connectivity,60.000000,1,6.000000,2.253886,0.000000,10.000000,6.120000,3.438837,47.040000,6.720000,0,0,65.649155
