seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
50,50,0,rejected,assert_connectivity,60.000000,1,7.400000,3.280244,0.000000,14.000000,7.240000,3.265333,47.040000,6.720000,0,0,58.669209
51,51,0,rejected,assert_connectivity,60.000000,1,6.080000,3.084412,0.000000,11.000000,8.440000,3.430219,47.040000,6.720000,0,0,69.601296
52,52,0,rejected,assert_connectivity,60.000000,1,5.200000,1.928730,1.000000,9.000000,5.240000,3.301878,45.160000,9.014122,0,0,66.559193
53,53,0,rejected,too_close,60.000000,1,4.920000,1.831284,1.000000,9.000000,4.640000,1.926240,49.000000,0.000000,50,1,66.286517
54,54,0,rejected,assert_connectivity,60.000000,1,5.880000,2.754197,1.000000,11.000000,7.280000,3.498800,39.760000,12.720943,0,0,56.796110
55,55,0,rejected,assert_connectivity,60.000000,1,5.960000,3.130240,0.000000,12.000000,6.120000,3.010913,47.040000,6.720000,0,0,66.383344
43,43,0,accepted,none,0.000000,1,5.240000,1.691863,1.000000,9.000000,6.880000,3.362380,49.000000,0.000000,50,0,61.361878
45,45,0,accepted,none,0.000000,1,5.480000,2.109407,1.000000,9.000000,5.400000,3.364521,49.000000,0.000000,50,0,65.498329
57,57,0,rejected,assert_connectivity,60.000000,1,5.760000,2.990385,1.000000,12.000000,6.880000,3.922448,43.360000,10.449421,0,0,67.725698
59,59,0,rejected,assert_connectivity,60.000000,1,5.360000,2.674023,1.000000,13.000000,5.720000,3.124356,43.360000,10.449421,0,0,63.621257
58,58,0,rejected,assert_connectivity,60.000000,1,6.640000,2.733203,2.000000,11.000000,8.880000,4.087248,43.360000,10.449421,0,1,69.882854
60,60,0,rejected,assert_connectivity,60.000000,1,5.560000,1.920000,0.000000,9.000000,7.760000,2.949983,47.040000,6.720000,0,0,74.793491
42,42,0,accepted,none,0.000000,1,6.320000,3.838958,1.000000,15.000000,7.720000,3.990188,49.000000,0.000000,50,0,69.118422
61,61,0,rejected,assert_connectivity,60.000000,1,5.920000,2.855451,1.000000,12.000000,6.120000,3.462023,45.160000,9.014122,0,0,66.383779
47,47,0,accepted,none,0.000000,1,6.600000,3.394113,2.000000,15.000000,7.920000,4.175356,49.000000,0.000000,50,0,61.640106
49,49,0,accepted,none,0.000000,1,6.720000,3.006925,2.000000,12.000000,9.280000,4.626186,49.000000,0.000000,50,0,58.593798
68,68,0,rejected,assert_connectivity,60.000000,1,6.880000,3.043945,1.000000,12.000000,9.880000,4.541542,41.640000,11.394314,0,0,64.328026
56,56,0,accepted,none,0.000000,1,5.480000,2.146998,1.000000,11.000000,7.040000,3.123844,49.000000,0.000000,50,0,69.155011
69,69,0,rejected,assert_connectivity,60.000000,1,6.400000,3.352611,1.000000,14.000000,8.000000,4.882622,41.640000,11.394314,0,0,66.458013
70,70,0,rejected,too_close,60.000000,1,6.240000,2.565619,2.000000,12.000000,7.840000,4.323702,49.000000,0.000000,50,0,64.563683
71,71,0,rejected,assert_connectivity,60.000000,1,5.960000,2.966210,1.000000,11.000000,7.760000,3.797684,45.160000,9.014122,0,0,61.854177
72,72,0,rejected,assert_connectivity,60.000000,1,5.960000,2.925474,2.000000,16.000000,6.800000,3.867816,43.360000,10.449421,0,0,60.700005
64,64,0,accepted,none,0.000000,1,5.960000,1.938659,2.000000,10.000000,7.360000,3.374967,49.000000,0.000000,50,0,60.429171
66,66,0,accepted,none,0.000000,1,5.480000,2.183941,2.000000,11.000000,6.520000,3.694537,49.000000,0.000000,50,0,62.923717
65,65,0,accepted,none,0.000000,1,6.000000,1.833030,2.000000,11.000000,7.800000,2.771281,49.000000,0.000000,50,0,62.065294
62,62,0,accepted,none,0.000000,1,6.200000,2.727636,1.000000,12.000000,7.720000,2.705846,49.000000,0.000000,50,0,70.003345
63,63,0,accepted,none,0.000000,1,7.480000,3.287796,1.000000,16.000000,9.520000,4.040990,49.000000,0.000000,50,0,60.548096
74,74,0,rejected,assert_connectivity,60.000000,1,7.560000,3.225895,1.000000,14.000000,7.240000,3.987781,45.160000,9.014122,0,1,57.824896
76,76,0,rejected,assert_connectivity,60.000000,1,8.000000,4.004997,0.000000,16.000000,9.800000,4.390900,47.040000,6.720000,0,0,69.143222
79,79,0,rejected,assert_connectivity,60.000000,1,6.480000,3.176413,0.000000,13.000000,7.440000,3.645051,27.440000,10.176758,0,0,69.610297
78,78,0,rejected,too_close,60.000000,1,6.160000,2.361017,1.000000,12.000000,7.720000,4.064677,49.000000,0.000000,50,0,62.870062
81,81,0,rejected,too_close,60.000000,1,6.200000,2.675818,1.000000,13.000000,9.320000,3.663004,49.000000,0.000000,50,0,63.403951
67,67,0,accepted,none,0.000000,1,6.440000,2.736129,1.000000,12.000000,9.800000,3.622154,49.000000,0.000000,50,0,61.771808
83,83,0,rejected,too_close,60.000000,1,5.680000,2.866636,1.000000,12.000000,8.520000,3.869057,49.000000,0.000000,50,1,68.544363
85,85,0,rejected,assert_connectivity,60.000000,1,6.760000,2.596613,1.000000,12.000000,8.520000,3.628994,41.640000,11.394314,0,0,61.135107
86,86,0,rejected,assert_connectivity,60.000000,1,5.640000,2.582712,0.000000,12.000000,5.960000,3.286092,43.280000,10.766689,0,0,65.570306
87,87,0,rejected,assert_connectivity,60.000000,1,5.440000,2.021485,0.000000,9.000000,6.720000,2.727930,47.040000,6.720000,0,0,66.677249
88,88,0,rejected,too_close,60.000000,1,5.480000,1.951820,2.000000,10.000000,7.440000,3.060457,49.000000,0.000000,50,0,67.008718
